case_id,customer_id,solicitor_name,case_type,case_value_gbp,start_date,case_status
CASE0402,126,James Davies,Corporate,232503,07/07/2022,Open
CASE0403,49,David Taylor,General,171285,09/11/2022,Pending
CASE0404,68,Charles Thompson,Conveyancing,476170,03/07/2021,Open
CASE0405,19,Emma Wilson,Employment,296052,04/12/2021,Pending
CASE0406,112,Richard Evans,General,377318,09/09/2021,Open
CASE0407,123,Richard Evans,Immigration,339836,07/04/2021,Open
CASE0408,65,Sarah Jones,Intellectual Property,351450,03/12/2023,Closed
CASE0409,101,Emma Wilson,Corporate,426733,15/08/2022,Closed
CASE0410,106,Richard Evans,General,181882,06/02/2021,Closed
CASE0411,157,Susan Robinson,General,463753,11/01/2023,Pending
CASE0412,90,Sarah Jones,Wills & Probate,406253,04/08/2021,Closed
CASE0413,95,Richard Evans,Employment,64376,14/11/2021,Closed
CASE0414,39,David Taylor,Conveyancing,383803,03/07/2023,Closed
CASE0415,20,Jennifer Thomas,Property Law,494106,07/03/2021,Open
CASE0416,44,David Taylor,Corporate,46174,26/06/2023,Closed
CASE0417,61,James Davies,Intellectual Property,171190,12/05/2023,Closed
CASE0418,149,Richard Evans,Employment,42332,05/03/2022,Pending
CASE0419,126,Richard Evans,Immigration,13572,27/02/2023,Pending
CASE0420,152,Patricia White,Employment,180810,17/02/2022,Closed
CASE0421,49,Charles Thompson,Conveyancing,136862,31/05/2022,Open
CASE0422,147,Patricia White,Dispute Resolution,432889,03/01/2021,Open
CASE0423,170,Patricia White,Wills & Probate,383334,06/09/2021,Open
CASE0424,136,Andrew Roberts,Litigation,68564,14/04/2023,Closed
CASE0425,118,James Davies,Conveyancing,98803,28/11/2021,Pending
CASE0426,104,David Taylor,General,379923,10/02/2022,Closed
CASE0427,78,Andrew Roberts,Litigation,32045,04/04/2021,Closed
CASE0428,82,Andrew Roberts,Property Law,194229,15/03/2023,Open
CASE0429,170,James Davies,Immigration,93602,30/05/2022,Open
CASE0430,148,David Taylor,Employment,152332,31/08/2022,Closed
CASE0431,84,Patricia White,Litigation,179146,19/01/2023,Open
CASE0432,21,Daniel Hughes,Dispute Resolution,400834,06/09/2022,Closed
CASE0433,32,Robert Smith,Litigation,75488,29/06/2021,Pending
CASE0434,19,Sarah Jones,Family Law,455679,18/09/2021,Pending
CASE0435,131,David Taylor,Property Law,489177,31/05/2021,Closed
CASE0436,152,James Davies,Commercial,49846,24/09/2022,Closed
CASE0437,151,Patricia White,Employment,99479,06/08/2022,Closed
CASE0438,115,Patricia White,Wills & Probate,421828,13/10/2022,Closed
CASE0439,101,Andrew Roberts,Corporate,299280,21/06/2021,Open
CASE0440,9,Patricia White,Corporate,250157,28/07/2022,Closed
CASE0441,23,Karen Edwards,General,180726,05/03/2022,Closed
CASE0442,160,Lisa Johnson,Contract Law,42169,12/08/2022,Closed
CASE0443,28,Charles Thompson,Family Law,220675,25/03/2021,Closed
CASE0444,124,Sarah Jones,General,328499,27/02/2022,Closed
CASE0445,158,Charles Thompson,Conveyancing,256314,25/11/2023,Closed
CASE0446,31,Emma Wilson,Corporate,151757,15/06/2022,Open
CASE0447,23,Charles Thompson,General,88702,08/11/2022,Pending
CASE0448,162,Andrew Roberts,Employment,305516,04/04/2021,Closed
CASE0449,165,Lisa Johnson,General,188051,01/02/2021,Closed
CASE0450,166,Susan Robinson,Corporate,452366,21/11/2021,Open
CASE0451,17,Patricia White,Intellectual Property,281819,05/04/2021,Open
CASE0452,27,Sarah Jones,Dispute Resolution,279400,29/11/2022,Closed
CASE0453,28,Emma Wilson,Property Law,24825,02/01/2021,Closed
CASE0454,53,Lisa Johnson,General,32460,09/04/2022,Pending
CASE0455,109,Lisa Johnson,Wills & Probate,379541,26/04/2022,Closed
CASE0456,58,James Davies,Wills & Probate,390306,04/05/2021,Closed
CASE0457,114,James Davies,Intellectual Property,51245,07/05/2022,Pending
CASE0458,8,Jennifer Thomas,General,232815,14/04/2022,Closed
CASE0459,67,David Taylor,Immigration,414424,07/12/2023,Open
CASE0460,154,Karen Edwards,Employment,101953,02/12/2023,Pending
CASE0461,47,Charles Thompson,Corporate,325344,29/04/2021,Closed
CASE0462,136,David Taylor,Corporate,122423,15/07/2021,Open
CASE0463,108,Emma Wilson,General,340174,16/11/2023,Closed
CASE0464,167,Emma Wilson,Immigration,328642,15/11/2022,Open
CASE0465,28,Karen Edwards,Intellectual Property,168789,19/09/2021,Open
CASE0466,100,Charles Thompson,Wills & Probate,152826,14/12/2021,Open
CASE0467,64,Patricia White,Intellectual Property,192997,26/10/2023,Closed
CASE0468,121,Patricia White,Family Law,144317,15/08/2021,Closed
CASE0469,93,David Taylor,Contract Law,335361,23/06/2022,Open
CASE0470,17,James Davies,General,17920,06/11/2022,Pending
CASE0471,79,Jennifer Thomas,Conveyancing,457661,17/01/2021,Pending
CASE0472,141,Daniel Hughes,Employment,451969,20/01/2021,Open
CASE0473,101,Jennifer Thomas,Conveyancing,385461,06/10/2022,Open
CASE0474,65,James Davies,Wills & Probate,451326,22/05/2021,Open
CASE0475,156,Daniel Hughes,Family Law,58796,11/04/2022,Open
CASE0476,166,Robert Smith,Conveyancing,19482,26/08/2021,Closed
CASE0477,153,Jennifer Thomas,Wills & Probate,489149,12/07/2023,Closed
CASE0478,5,Jennifer Thomas,Corporate,304195,16/10/2022,Closed
CASE0479,139,Richard Evans,Wills & Probate,263543,30/08/2022,Pending
CASE0480,39,James Davies,Contract Law,404447,10/11/2023,Closed
CASE0481,79,Susan Robinson,Employment,459136,25/07/2023,Closed
CASE0482,131,Sarah Jones,Family Law,140672,09/10/2022,Open
CASE0483,62,Daniel Hughes,Employment,234519,27/01/2022,Closed
CASE0484,78,Michael Brown,Employment,492243,29/08/2022,Closed
CASE0485,36,Susan Robinson,General,169977,06/05/2023,Open
CASE0486,41,Sarah Jones,General,197508,12/09/2023,Closed
CASE0487,74,Emma Wilson,Conveyancing,108534,25/10/2022,Closed
CASE0488,130,Daniel Hughes,General,471932,09/08/2021,Closed
CASE0489,25,Jennifer Thomas,Commercial,448714,14/09/2022,Pending
CASE0490,67,Sarah Jones,Employment,100168,16/02/2022,Closed
CASE0491,91,Jennifer Thomas,Commercial,312167,04/05/2021,Closed
CASE0492,72,Karen Edwards,Contract Law,299124,19/11/2021,Open
CASE0493,139,Jennifer Thomas,Intellectual Property,316535,02/02/2022,Open
CASE0494,158,Daniel Hughes,Intellectual Property,252446,06/10/2021,Closed
CASE0495,123,Andrew Roberts,Property Law,150921,06/11/2023,Closed
CASE0496,41,Jennifer Thomas,Corporate,75944,03/05/2023,Open
CASE0497,65,Robert Smith,Corporate,23261,10/02/2023,Open
CASE0498,133,Charles Thompson,Litigation,98788,02/07/2022,Open
CASE0499,42,Karen Edwards,Contract Law,13859,14/06/2022,Closed
CASE0500,32,Charles Thompson,Immigration,468794,01/04/2022,Open
