tid,cid,typ,dt,amt,hrs,paystat,col8
T000457,C00092,Expense,16/02/2021,GBP 37313,,Overdue,Y
T000458,C00108,INV,2021-03-16,27.366K,,O,X
T000459,C00380,payment,10/01/2022,19.418K,,Late,X
T000460,C00028,Invoice,20-04-21,26.6K,,Unpaid,Y
T000461,C00180,E,11/13/2022,GBP 21198,,Complete,
T000462,CASE177,payment,08-08-22,29.059K,,Late,Y
T000463,C00375,Time,05/22/2023,18691.00,10.5,overdue,Y
T000464,CASE303,Hours,12-03-21,7280,,0,X
TXN465,C00236,invoice,10/23/2021,GBP 11594,,,Y
T000466,C00424,I,08/11/2022,21576,,Overdue,X
T000467,CASE89,E,10/27/2021,46543,,1,Y
TXN468,C00493,Expenses,29/06/2023,13265.00,,paid,X
TXN469,C00376,expense,2021-08-24,£43113,,Paid,X
T000470,C00435,INV,2023-02-20,£4391,,O,
T000471,C00112,EXP,25/07/2023,£41517,,Complete,X
T000472,C00332,Time,02/02/2023,30615.00,3.9,0,
T000473,C00487,E,17-02-22,£32429,,overdue,X
T000474,C00091,EXP,2021-11-05,43911,,0,Y
T000475,C00302,TIME,17-09-22,22865,16.8,Paid,
T000476,C00403,Timesheet,08/05/2023,14003,24.9,Unpaid,X
T000477,C00047,P,2021-06-22,£23166,,Paid,
T000478,C00210,Expense,04-02-22,10.651K,,1,X
T000479,C00145,payment,22/11/2021,32.372K,,Paid,
T000480,C00427,Invoice,29-03-21,£18265,,P,Y
T000481,C00484,I,04-03-21,29.571K,,Late,X
T000482,C00355,Invoice,12/30/2021,£36958,,overdue,Y
T000483,C00239,INV,23-07-21,24.495K,,Overdue,
T000484,CASE301,PAY,08/26/2022,£2669,,P,Y
T000485,C00484,Invoice,04/06/2023,12880,,Unknown,Y
T000486,CASE151,E,21/06/2021,£32950,,overdue,
T000487,C00413,Expense,21-06-21,GBP 16459,,Overdue,Y
TXN488,C00499,invoice,29-07-22,£19574,,overdue,
T000489,C00293,Expenses,27-11-23,618,,N/A,X
T000490,C00493,Timesheet,29/07/2021,GBP 19501,5.4,Paid,
T000491,CASE275,P,02-08-23,25288.00,,Unpaid,
T000492,C00326,Expenses,2021-11-14,GBP 38490,,N/A,Y
T000493,C00155,Bill,2023-09-24,£38822,,Late,X
T000494,CASE229,P,10/06/2022,£2626,,N/A,
T000495,C00422,Hours,07/27/2022,£23114,,,Y
T000496,C00293,TIME,07-04-23,GBP 13809,19.3,Overdue,
TXN497,C00024,Expense,2022-01-03,40206.00,,N/A,Y
T000498,C00074,E,07/08/2021,GBP 7754,,U,Y
T000499,C00302,INV,18-12-22,34312.00,,,Y
T000500,C00406,Hours,14/09/2022,£16955,,Paid,X
T000501,C00013,I,2021-09-28,GBP 13310,,Pending,Y
T000502,C00075,payment,2022-10-07,GBP 30292,,,X
T000503,C00187,expense,16/09/2022,23081,,Late,
T000504,C00202,Invoice,02/20/2022,28332,,Complete,Y
T000505,C00263,Bill,2023-09-23,24202,,Overdue,X
T000506,CASE329,I,18/06/2021,14497.00,,Unpaid,
T000507,CASE393,Receipt,20/04/2022,43.561K,,Pending,Y
T000508,C00446,INV,2022-07-27,GBP 34038,,unpaid,X
T000509,C00309,P,10/25/2022,24430,,paid,X
T000510,CASE216,Expense,21/04/2021,33653.00,,overdue,X
T000511,C00209,Invoice,29/10/2023,34423.00,,1,Y
T000512,CASE156,Expense,2022-08-23,32976.00,,,X
T000513,C00029,I,2023-02-25,33.767K,,Unpaid,Y
T000514,C00404,P,16/12/2021,GBP 43758,,Paid,Y
T000515,C00382,INV,07/12/2022,32423.00,,Pending,Y
T000516,C00380,Payment,11-11-21,GBP 45062,,U,Y
T000517,C00491,E,01-07-23,£15259,,,
T000518,C00444,expense,2023-05-16,729,,overdue,X
T000519,C00446,EXP,12-01-22,36652,,O,
T000520,CASE352,Invoice,20/12/2021,44754.00,,Late,Y
T000521,CASE83,payment,2023-03-22,GBP 22826,,Paid,
T000522,C00029,Hours,07-09-23,GBP 600,,1,Y
T000523,C00102,payment,18/10/2023,3195,,P,X
T000524,C00390,Expenses,03/04/2021,22061,,,Y
TXN525,C00166,invoice,30/11/2021,£40640,,1,
T000526,C00177,EXP,2022-04-17,43978,,N/A,Y
T000527,C00025,Receipt,16-08-21,20190,,Unpaid,X
TXN528,C00448,Expenses,08/07/2022,40.88K,,Late,X
T000529,C00029,Expenses,02/19/2021,24138.00,,Unpaid,Y
TXN530,CASE429,Expenses,08-11-21,2661,,1,Y
T000531,C00150,payment,2022-02-10,32.443K,,Pending,X
T000532,C00162,Expenses,2021-04-18,13905,,Late,Y
T000533,CASE28,timesheet,02-12-22,46844.00,23.4,Pending,
T000534,C00398,INV,2022-10-01,GBP 25545,,,
T000535,C00339,Receipt,23/11/2022,GBP 31989,,1,X
T000536,C00032,Expense,08/03/2021,6110.00,,P,X
TXN537,CASE254,payment,2021-08-16,£40752,,,Y
T000538,C00401,expense,06-03-23,21889,,U,Y
T000539,C00022,P,06/09/2021,GBP 31075,,Overdue,
T000540,C00495,expense,05/12/2023,£16137,,N/A,Y
T000541,C00226,Expense,28/05/2022,GBP 29846,,Complete,X
T000542,C00275,Payment,13-03-21,5692,,O,
T000543,C00199,EXP,08/24/2023,46491,,O,X
T000544,C00234,E,17/11/2021,15575.00,,Unknown,
T000545,CASE414,payment,15/04/2023,34.256K,,Pending,Y
T000546,C00049,INV,07/20/2022,GBP 2018,,overdue,
T000547,C00381,E,2021-11-26,12394.00,,O,
T000548,C00155,payment,2023-10-08,£13111,,1,
T000549,C00069,PAY,2022-06-27,£17023,,overdue,X
T000550,CASE128,P,09/20/2023,13769,,U,Y
T000551,C00145,timesheet,31-07-22,GBP 27133,35.8,Unpaid,Y
T000552,C00318,Invoice,2023-08-06,19587.00,,,Y
T000553,C00361,I,02-11-22,35874,,P,Y
T000554,CASE91,timesheet,04-10-23,£27386,30.1,1,X
T000555,C00234,EXP,10/19/2021,£13077,,Unpaid,X
T000556,C00466,P,21/12/2023,10712.00,,Pending,
T000557,CASE208,TIME,13/09/2023,26798.00,13.2,Overdue,Y
T000558,C00467,I,05-10-22,£6191,,Paid,Y
T000559,C00428,Expense,2022-06-21,2071.00,,overdue,Y
TXN560,C00110,INV,11-04-23,9895.00,,Unpaid,
TXN561,CASE170,payment,04/09/2022,GBP 33466,,O,
T000562,C00333,Expenses,2021-11-04,13942.00,,Unknown,
T000563,CASE383,TIME,11/06/2023,7016,8.9,N/A,X
T000564,C00197,Invoice,02/15/2021,£7619,,Unpaid,Y
T000565,C00282,E,25/01/2023,10892.00,,Complete,
T000566,CASE478,INV,2022-02-14,£1691,,Unpaid,
T000567,C00123,Bill,16/11/2021,33594,,Overdue,
T000568,C00392,EXP,12/26/2022,GBP 45180,,U,Y
T000569,C00133,payment,15/07/2023,49.132K,,O,
T000570,CASE138,P,11/15/2023,£47303,,Unknown,X
TXN571,C00498,Invoice,04/28/2021,15.997K,,N/A,Y
T000572,CASE192,Time,2021-02-18,3216.00,6.0,Unpaid,Y
T000573,C00114,TIME,12/08/2023,33.602K,11.2,unpaid,
T000574,C00159,E,13-04-21,25928.00,,Unpaid,X
T000575,C00426,payment,18/09/2022,GBP 16821,,overdue,Y
T000576,C00165,invoice,02/08/2021,19.795K,,Complete,
T000577,C00188,Invoice,09-04-22,£45084,,Paid,
TXN578,C00188,P,31-10-23,805.00,,,X
T000579,C00239,PAY,2021-05-07,45340,,1,X
T000580,C00349,Time,23-06-21,£19115,29.6,N/A,X
T000581,C00339,PAY,15/12/2023,GBP 27170,,P,
T000582,CASE71,invoice,23/01/2021,GBP 48715,,Late,Y
T000583,CASE338,timesheet,24-11-23,30843,7.2,Paid,
TXN584,C00015,expense,2023-07-03,7395.00,,Paid,Y
T000585,C00139,Expenses,07/07/2023,GBP 11610,,Unknown,X
T000586,C00293,Hours,01-08-22,41625,,Paid,X
T000587,C00225,P,2022-01-22,36999,,U,Y
T000588,C00319,Time,02/04/2021,28492,22.9,N/A,Y
TXN589,C00287,TIME,2022-11-18,£7766,39.3,paid,
TXN590,C00049,Bill,16-09-23,25360,,1,X
T000591,C00158,I,12-07-22,4226,,N/A,Y
T000592,C00428,PAY,16-11-22,£12065,,Late,
T000593,CASE474,P,2022-12-21,GBP 4469,,O,
T000594,C00216,INV,24-01-23,23238.00,,overdue,
T000595,C00099,Hours,2021-06-22,20.512K,,Late,Y
T000596,C00332,PAY,26/03/2023,GBP 28174,,O,Y
TXN597,C00147,INV,15-11-23,35.467K,,O,X
T000598,C00236,PAY,2022-02-14,25280,,Overdue,Y
T000599,C00085,I,08/19/2022,4124,,N/A,Y
T000600,CASE204,expense,25/08/2021,£12154,,N/A,Y
T000601,C00283,timesheet,06/23/2021,£3174,11.9,overdue,Y
T000602,C00184,EXP,25-12-21,32981.00,,Late,X
T000603,C00226,Invoice,2022-02-16,9831,,Unknown,X
T000604,C00084,Invoice,05-09-23,3898,,Late,Y
T000605,C00211,invoice,24-07-23,2605.00,,unpaid,
T000606,C00436,Expenses,10/02/2023,35350.00,,Late,Y
T000607,CASE190,EXP,05-02-22,8355.00,,overdue,X
T000608,C00145,I,2023-08-17,4804.00,,N/A,Y
T000609,CASE188,Time,02/28/2021,£22937,30.5,Paid,X
T000610,C00231,E,01/01/2024,40.461K,,Paid,
TXN611,C00373,EXP,10/06/2021,26671.00,,U,
T000612,C00315,Bill,25-11-22,1412,,overdue,Y
T000613,CASE300,E,21-07-21,31.062K,,O,
T000614,CASE39,Time,01-12-23,31.988K,12.3,unpaid,X
TXN615,C00479,I,03-07-23,5610,,Complete,X
T000616,C00498,EXP,08/02/2022,13.563K,,paid,
T000617,C00030,invoice,02/14/2023,25.135K,,U,X
TXN618,C00429,I,12/11/2022,£38292,,N/A,X
T000619,C00045,Invoice,14/07/2023,24703,,Complete,
T000620,C00482,Expenses,10/29/2021,GBP 26917,,0,
T000621,C00433,payment,15-07-23,20.71K,,Late,
T000622,CASE391,Timesheet,10-09-23,GBP 1172,31.7,P,
T000623,C00450,Receipt,05/04/2023,9603,,P,
T000624,C00322,Timesheet,05-04-22,49.931K,38.1,N/A,Y
T000625,C00448,INV,04/11/2023,£2032,,unpaid,
T000626,CASE233,Expenses,2022-09-21,£5540,,Unpaid,Y
T000627,C00280,Payment,22/07/2022,11.97K,,Unknown,Y
T000628,C00223,INV,09-09-21,26397,,Unpaid,X
T000629,C00317,P,27-07-22,GBP 13428,,N/A,X
T000630,C00482,Payment,08/08/2022,GBP 37598,,U,X
TXN631,C00048,Payment,02/07/2023,15421.00,,Unpaid,X
T000632,C00411,PAY,29/01/2023,£46222,,unpaid,
T000633,C00260,Hours,01/06/2021,GBP 18407,,N/A,Y
TXN634,CASE477,Receipt,27/12/2022,33193,,unpaid,
T000635,C00119,I,28-08-21,7136.00,,O,
T000636,C00453,I,08/11/2021,GBP 23936,,Paid,Y
T000637,C00313,Receipt,04/03/2021,£26750,,0,X
T000638,C00191,Invoice,15-03-23,34370,,O,X
T000639,CASE293,I,2023-09-17,£4857,,paid,
T000640,C00339,Payment,2022-06-01,£28909,,Unpaid,
T000641,C00112,Payment,2022-04-28,885,,Unknown,Y
TXN642,C00284,Hours,10-07-22,19.449K,,Overdue,X
T000643,C00043,Receipt,2023-03-17,16943.00,,Unknown,X
T000644,C00454,EXP,10/20/2022,17660.00,,1,X
T000645,C00189,TIME,2021-10-27,25241,0.8,0,
T000646,C00112,Expenses,20/02/2022,41308.00,,Pending,
T000647,C00025,invoice,05/05/2023,16450.00,,Pending,X
T000648,C00376,invoice,2022-11-17,£7381,,Unpaid,Y
T000649,C00394,Expense,01/11/2021,3267,,Complete,Y
T000650,CASE474,Hours,04/09/2021,14418.00,,0,X
T000651,C00034,timesheet,14-02-21,£7540,10.0,0,Y
T000652,C00278,payment,2022-01-08,33602,,Unknown,Y
T000653,C00403,timesheet,23-05-21,1418.00,37.1,overdue,
TXN654,CASE54,EXP,19-11-23,30079,,Overdue,
T000655,CASE96,INV,27-11-23,GBP 21073,,Late,Y
TXN656,CASE462,Timesheet,03/05/2022,19.753K,37.2,Unpaid,X
T000657,C00424,Invoice,11/24/2023,GBP 47606,,Overdue,Y
T000658,C00235,Expenses,12/08/2022,12235,,Unpaid,Y
T000659,C00481,Expense,2023-09-27,£33076,,O,Y
T000660,C00014,PAY,07/08/2021,42.479K,,1,X
T000661,C00442,P,06/10/2022,GBP 1147,,0,Y
T000662,C00163,Bill,05/04/2023,1233,,Unknown,X
TXN663,CASE449,PAY,27/04/2022,£45487,,paid,Y
T000664,C00053,Invoice,2021-03-25,£36141,,Overdue,X
T000665,C00103,Bill,2021-03-19,32849.00,,N/A,
T000666,C00010,Timesheet,2021-07-22,548,27.3,unpaid,
T000667,C00484,P,05/31/2022,31.001K,,P,
T000668,C00051,payment,10/15/2021,26.786K,,Unknown,Y
T000669,C00326,EXP,27/08/2022,£5883,,unpaid,
TXN670,CASE115,Timesheet,19-07-21,44113.00,2.5,N/A,Y
T000671,C00147,Expenses,18/07/2022,1553,,Unknown,
TXN672,C00343,expense,2023-09-06,13.471K,,Overdue,Y
T000673,C00398,P,2022-09-03,GBP 6420,,O,
T000674,C00314,INV,20/09/2021,GBP 10884,,Unpaid,Y
T000675,C00493,EXP,12/01/2021,33.444K,,U,
T000676,C00108,Time,2021-12-18,14318,23.4,O,X
T000677,C00317,INV,17-06-21,31.433K,,overdue,
TXN678,CASE225,INV,09-05-21,4161,,P,X
T000679,C00153,Payment,29-03-23,44.416K,,N/A,X
T000680,C00397,Invoice,2021-08-21,34041,,Complete,
T000681,C00098,TIME,17/10/2021,£1159,0.5,Pending,X
T000682,C00349,payment,04-10-23,38884.00,,N/A,X
T000683,C00202,PAY,22/05/2021,5149.00,,paid,
T000684,C00285,P,27-05-22,42.016K,,U,Y
TXN685,C00286,Hours,04-01-23,6036,,1,Y
T000686,CASE225,E,2021-04-16,40939,,O,Y
T000687,C00188,PAY,22-01-22,34536.00,,overdue,X
T000688,C00008,P,21/08/2022,40.595K,,unpaid,
T000689,C00236,Invoice,24/03/2023,25051,,Complete,Y
T000690,C00410,PAY,04/12/2022,45031.00,,N/A,Y
T000691,C00476,Receipt,03/18/2023,48246.00,,P,Y
T000692,C00160,Expenses,23-10-22,47198,,Complete,Y
T000693,CASE344,TIME,21-08-21,32957.00,38.3,Unknown,X
T000694,C00102,Expenses,2022-03-24,12938.00,,unpaid,Y
T000695,CASE451,Hours,12-08-22,£44146,,Unpaid,X
T000696,C00310,Payment,02-11-21,£15543,,,Y
TXN697,C00271,Expense,2023-05-03,17.493K,,,
T000698,C00167,EXP,2021-09-17,GBP 976,,overdue,
T000699,CASE233,expense,19/06/2021,£11432,,unpaid,
T000700,C00467,P,17-04-21,£5029,,P,X
T000701,C00367,payment,16-05-21,GBP 32344,,Overdue,
T000702,CASE191,I,10/15/2022,21303.00,,unpaid,
TXN703,CASE398,EXP,2023-10-26,GBP 8012,,unpaid,X
T000704,C00404,Expenses,12-06-22,29430,,N/A,X
T000705,C00144,EXP,21/01/2022,3552.00,,1,
T000706,C00359,Expenses,03/12/2023,GBP 22331,,overdue,Y
T000707,C00478,PAY,28/06/2021,18.663K,,Paid,X
T000708,C00497,E,01/07/2023,£34248,,paid,Y
T000709,CASE270,Hours,19/03/2022,£39268,,1,X
T000710,C00088,PAY,01/12/2023,6948.00,,,Y
T000711,C00276,Time,28/01/2021,15115,38.7,Late,Y
T000712,C00245,payment,02/18/2021,GBP 23615,,Unknown,
T000713,C00345,payment,11/09/2021,£5193,,O,X
T000714,C00219,Expense,12/04/2023,26568.00,,1,X
T000715,CASE369,TIME,01/10/2021,£40932,39.5,1,
T000716,CASE274,INV,06/24/2023,10775,,1,
T000717,CASE362,Receipt,2022-09-25,29.358K,,overdue,Y
T000718,C00370,Hours,10/10/2021,840.00,,Pending,
TXN719,C00200,payment,2021-05-28,£16043,,1,
T000720,C00403,Payment,04/30/2021,37.671K,,paid,
TXN721,CASE415,EXP,09/23/2022,9073.00,,0,
T000722,C00251,Expenses,09/11/2023,GBP 37282,,P,
T000723,C00164,Timesheet,2023-03-27,GBP 37514,37.5,U,Y
T000724,C00394,Timesheet,10/07/2022,5393,3.8,Paid,
TXN725,C00122,PAY,07/08/2021,19083.00,,0,Y
TXN726,C00381,Receipt,2023-09-12,GBP 7162,,1,X
T000727,CASE480,expense,14/10/2023,48.787K,,unpaid,X
T000728,C00383,Expenses,02/13/2021,GBP 45841,,Late,Y
T000729,C00010,I,2022-02-19,38532,,N/A,
T000730,C00165,Timesheet,01-11-21,GBP 42845,3.4,O,
TXN731,CASE187,timesheet,31/05/2021,GBP 12180,29.2,Complete,X
T000732,C00209,payment,25-04-22,£30663,,O,Y
T000733,C00433,Expense,2021-08-31,48802.00,,1,
T000734,C00004,invoice,2023-03-09,20.748K,,,X
TXN735,CASE24,timesheet,04/17/2023,32294.00,14.1,overdue,Y
T000736,C00206,INV,2023-05-31,34370.00,,Paid,Y
T000737,C00336,invoice,06/06/2022,44558,,paid,X
T000738,C00120,PAY,05-05-21,46.506K,,Pending,
TXN739,C00218,invoice,15-02-22,13.292K,,O,X
TXN740,C00396,Expenses,2022-09-09,GBP 27868,,,Y
T000741,C00125,Invoice,08/09/2021,15.173K,,Pending,X
T000742,C00042,PAY,08-02-22,GBP 47151,,Pending,X
T000743,CASE456,Payment,10/16/2021,21.998K,,Paid,X
T000744,C00027,Expense,12/10/2022,21.01K,,unpaid,
TXN745,CASE179,Expense,20/07/2022,14.774K,,unpaid,X
T000746,CASE235,Invoice,2022-12-31,£22967,,Overdue,X
T000747,CASE473,Hours,2021-02-08,43.592K,,Late,Y
T000748,C00332,Timesheet,03/07/2022,GBP 18668,3.7,Unpaid,
T000749,C00445,P,2023-12-18,45.334K,,Unpaid,
T000750,CASE142,timesheet,2021-12-15,5634.00,1.9,Unpaid,
T000751,CASE318,INV,04/13/2021,38896.00,,Unknown,Y
T000752,CASE374,TIME,27-04-22,£41212,32.5,Late,
T000753,C00372,Payment,15-01-23,17226,,Pending,Y
T000754,C00377,P,10/28/2022,£41958,,Unpaid,Y
T000755,C00338,invoice,01/22/2023,3513.00,,paid,Y
T000756,C00414,PAY,07/03/2022,£12313,,Complete,
T000757,CASE170,timesheet,17/07/2022,GBP 5146,28.0,,
T000758,CASE434,PAY,2021-11-07,GBP 31463,,1,Y
T000759,C00358,Payment,22/03/2021,36320,,P,
TXN760,C00362,Timesheet,03-02-23,£12689,24.0,unpaid,Y
T000761,CASE492,E,2022-11-18,31623,,Pending,Y
T000762,C00311,INV,06-04-23,£40205,,Paid,
T000763,C00038,expense,14-03-22,GBP 29550,,Unknown,Y
T000764,C00013,Expense,07/08/2022,43765,,Unknown,
T000765,C00193,Expense,08-01-23,13177,,U,
T000766,C00425,timesheet,05/06/2021,GBP 49230,24.6,Complete,Y
T000767,C00117,TIME,31-03-23,17.443K,14.9,Complete,
T000768,C00165,PAY,2022-10-18,34749.00,,overdue,
TXN769,C00009,PAY,13/09/2021,34213.00,,overdue,X
T000770,CASE221,Expenses,2023-08-20,GBP 28246,,O,X
T000771,C00459,Expense,04/23/2023,£15863,,Late,X
T000772,C00487,INV,16-02-21,GBP 37104,,paid,Y
T000773,CASE159,TIME,2021-12-11,33.289K,35.3,unpaid,Y
T000774,C00384,Invoice,30/04/2023,26785,,0,Y
T000775,C00369,invoice,25/08/2021,GBP 23989,,O,Y
T000776,CASE406,P,14/10/2022,£48469,,paid,Y
T000777,C00222,Bill,03/10/2021,25111.00,,overdue,Y
T000778,C00397,Receipt,09/22/2022,48683.00,,U,
T000779,C00268,EXP,2021-05-12,45336,,Unknown,X
T000780,CASE92,INV,23-04-22,GBP 43893,,U,Y
T000781,C00204,P,20-01-22,35573.00,,unpaid,X
T000782,C00322,P,04-01-23,GBP 23813,,Unpaid,X
T000783,C00242,Timesheet,25-09-22,£34915,29.0,N/A,X
T000784,C00378,Hours,20-05-22,43507.00,,overdue,Y
T000785,C00109,Time,2021-05-10,£42175,20.4,paid,
T000786,C00340,INV,20-10-22,£19060,,overdue,X
T000787,C00155,timesheet,03-08-22,£48333,24.9,paid,X
T000788,C00162,Payment,26-10-23,£1062,,O,
T000789,CASE115,INV,04/23/2021,GBP 22171,,paid,Y
T000790,C00199,PAY,2022-02-07,GBP 34863,,N/A,X
T000791,C00067,invoice,01/01/2022,GBP 38817,,Overdue,
T000792,C00236,Bill,2023-07-24,GBP 34549,,Late,Y
T000793,C00397,E,2022-11-15,£1936,,N/A,X
T000794,C00493,Bill,12/23/2023,6458,,0,X
T000795,C00429,PAY,2023-11-22,GBP 27633,,Paid,X
T000796,C00327,timesheet,2021-09-22,£12320,15.6,overdue,Y
TXN797,C00436,Time,16/10/2023,£32680,13.7,Complete,X
T000798,C00353,TIME,15-10-22,34.531K,1.6,Complete,X
T000799,C00342,expense,10/19/2022,£36129,,U,Y
T000800,C00262,P,22/10/2021,£41946,,Late,
T000801,C00341,Time,26/09/2021,14981,5.3,Pending,Y
T000802,C00273,payment,21-01-23,£38834,,N/A,Y
T000803,C00065,timesheet,04/11/2023,GBP 38978,16.1,P,Y
T000804,C00108,Timesheet,28-10-23,44422,6.0,unpaid,
T000805,C00125,Receipt,18/03/2023,GBP 19200,,unpaid,
T000806,C00128,Invoice,30/05/2023,£10734,,Complete,X
T000807,C00209,expense,28-10-22,28539.00,,unpaid,
T000808,C00490,Expenses,20/04/2022,32461,,Paid,Y
T000809,C00175,PAY,25/07/2021,23465.00,,U,Y
T000810,C00022,PAY,07/11/2021,47307.00,,Unpaid,Y
T000811,C00440,Expense,03-03-23,21888.00,,Overdue,
T000812,C00097,Hours,09/30/2021,GBP 11732,,unpaid,Y
T000813,C00022,invoice,11/27/2021,49989.00,,P,X
T000814,C00445,timesheet,06/04/2022,GBP 41816,1.0,Overdue,
T000815,CASE107,Receipt,30/06/2023,30028,,Unknown,
T000816,C00491,INV,03/07/2022,1524,,Complete,
T000817,C00326,timesheet,22/10/2022,4063.00,5.0,O,
TXN818,C00125,Expense,2022-11-11,£39777,,O,Y
TXN819,C00416,Payment,09/20/2023,34976.00,,Late,
T000820,C00382,TIME,2023-08-13,11423,6.6,0,Y
T000821,CASE9,Bill,02/02/2022,£34527,,,
T000822,C00496,Expense,10/19/2021,£15930,,,X
T000823,CASE339,Expense,05-11-23,GBP 11578,,Unpaid,X
T000824,C00153,Payment,21-02-22,29.838K,,overdue,
T000825,C00428,invoice,02/08/2021,10220.00,,Paid,Y
T000826,C00158,EXP,11/26/2021,GBP 2914,,,
T000827,C00171,timesheet,02/26/2022,48641,29.1,Overdue,Y
T000828,CASE74,EXP,14/12/2021,43370,,,
T000829,C00031,PAY,11/19/2021,£13740,,O,
T000830,C00070,I,10-11-21,£40514,,0,X
T000831,C00229,PAY,11-10-23,4292,,P,X
T000832,C00321,Bill,29-04-22,GBP 3474,,Paid,
T000833,C00002,timesheet,27-02-21,GBP 35615,39.0,,Y
T000834,CASE114,invoice,05/12/2022,12875.00,,U,X
T000835,C00344,timesheet,15-07-23,12.868K,3.1,N/A,
T000836,C00045,Timesheet,02/12/2023,4311,11.9,1,Y
T000837,CASE22,timesheet,14-03-22,£4551,0.9,paid,X
T000838,C00382,E,27-04-23,26.579K,,P,Y
T000839,C00337,Payment,07/27/2022,38448,,Late,
T000840,C00112,INV,11/21/2023,37.327K,,Overdue,X
T000841,CASE189,Hours,01/01/2021,£43873,,1,Y
T000842,CASE470,Bill,27/09/2021,21.016K,,unpaid,Y
T000843,CASE224,Expenses,03/14/2021,GBP 42440,,Unpaid,Y
T000844,C00272,invoice,30-12-22,39.131K,,1,
T000845,CASE229,TIME,13-03-21,6742.00,2.7,Late,X
T000846,CASE325,Time,2022-07-10,GBP 47882,22.6,U,X
T000847,C00211,invoice,2021-03-29,9143.00,,overdue,
T000848,CASE125,expense,21-09-23,27776.00,,O,X
T000849,C00207,Invoice,04/11/2022,6397,,Unpaid,X
T000850,CASE18,EXP,03/04/2022,39.235K,,1,X
T000851,C00267,Receipt,04/22/2021,49250.00,,0,X
T000852,C00334,Time,18/09/2023,GBP 40831,22.0,,X
T000853,C00116,invoice,11/23/2022,GBP 785,,O,
T000854,C00397,E,2021-09-01,8483.00,,Paid,
T000855,C00385,Bill,31-05-21,19533,,N/A,Y
T000856,C00364,EXP,30/12/2021,42.245K,,O,X
T000857,C00094,timesheet,2023-07-28,£9478,2.0,O,Y
T000858,CASE300,payment,2023-10-12,GBP 32002,,Late,
TXN859,C00074,E,07/01/2021,9552,,,
T000860,CASE258,payment,14/03/2023,£31182,,N/A,Y
T000861,C00342,PAY,2021-02-14,45834,,O,X
T000862,C00218,Timesheet,04/09/2021,42.231K,38.8,Paid,X
T000863,C00209,Invoice,20/03/2023,GBP 47404,,U,
T000864,CASE327,Timesheet,2022-02-04,16580,4.2,Unknown,Y
T000865,C00359,I,24/02/2021,11108,,paid,Y
T000866,C00076,Bill,25/10/2021,2068,,Complete,X
T000867,C00059,E,25/05/2021,£9879,,P,Y
T000868,C00110,Expenses,08-06-23,17.252K,,overdue,Y
T000869,C00387,EXP,13-03-23,21.202K,,,
T000870,CASE189,Bill,24-02-23,GBP 24945,,O,X
T000871,C00404,TIME,2022-04-01,GBP 47535,21.7,overdue,Y
T000872,CASE275,Hours,2022-06-25,GBP 34191,,overdue,X
T000873,CASE53,PAY,03-12-23,31648.00,,paid,
T000874,CASE100,Invoice,11/21/2023,GBP 13867,,1,Y
T000875,CASE369,E,13/12/2023,26.441K,,Paid,Y
T000876,C00336,expense,01/05/2023,13.257K,,Unknown,
T000877,C00174,Bill,03/29/2021,£49380,,Complete,Y
T000878,CASE285,Receipt,05/16/2022,15.658K,,unpaid,Y
T000879,C00125,INV,23-02-21,£9635,,,
T000880,C00005,Bill,2021-12-06,5001,,Unpaid,X
T000881,C00204,Expenses,09-03-21,22.231K,,Paid,
T000882,C00391,Invoice,22-12-23,£22818,,,X
T000883,C00470,invoice,17-10-22,£40247,,Unknown,
T000884,C00423,PAY,2023-04-27,8553.00,,paid,X
T000885,C00097,Bill,15/04/2021,GBP 52,,U,X
T000886,C00452,invoice,2021-09-25,GBP 26290,,Late,X
T000887,C00161,Expenses,2023-11-04,34576,,Late,X
T000888,CASE104,I,19/02/2023,19466.00,,overdue,X
T000889,CASE110,Hours,06-01-23,22774,,Complete,Y
T000890,C00215,Expenses,12/20/2023,£25806,,Pending,X
T000891,C00461,Payment,2021-02-15,£15837,,unpaid,X
T000892,CASE221,TIME,09-07-23,5970.00,4.9,paid,Y
T000893,C00136,Payment,08/12/2022,29.926K,,0,
T000894,C00351,Expenses,05/21/2021,10.158K,,paid,Y
T000895,C00386,Expenses,17-04-23,22455,,P,X
T000896,C00317,timesheet,11/09/2021,43443.00,31.1,,
T000897,C00390,invoice,2022-06-01,£10994,,Late,
T000898,C00245,Payment,09/10/2021,10.921K,,Unpaid,
T000899,C00280,Expense,05-05-21,£6200,,N/A,X
T000900,C00190,Expenses,2022-12-31,£22569,,Unpaid,X
T000901,C00483,payment,2023-10-16,GBP 13670,,paid,
T000902,C00410,Payment,06/26/2022,9095.00,,Complete,X
T000903,C00112,Expenses,2021-01-22,2098,,Late,X
T000904,C00223,Payment,09-08-22,42.317K,,P,
T000905,C00160,Time,14-10-22,GBP 4155,20.2,Pending,Y
TXN906,C00401,E,14/09/2023,£14142,,O,
T000907,C00257,payment,05-08-23,GBP 43014,,N/A,Y
TXN908,CASE109,timesheet,26-10-23,46654.00,4.7,1,Y
T000909,C00373,Bill,04-07-22,GBP 27662,,paid,
T000910,CASE351,Timesheet,17-10-21,41957,15.9,Unknown,
T000911,CASE135,expense,01/01/2022,12.625K,,,
T000912,C00339,INV,11-01-21,£9714,,Complete,Y
T000913,C00211,Payment,19-05-21,20078.00,,O,Y
