cid,custid,sol,typ,val,dt_start,st,col8
CASE386,93,Andrew Roberts,Litigation,402617.00,06/03/2021,In Progress,N/A
C00387,106,Emma Wilson,litigation,346903.00,11/29/2023,Pending,Y
C00388,30,Lisa Johnson,Family,157.794K,07/01/2021,Pending,X
C00389,100,Michael Brown,Comm,259397,2021-04-14,P,N/A
C00390,3,James Davies,Prop,484733.00,05/28/2021,Finished,X
C00391,20,Emma Wilson,dispute,GBP 455968,24/02/2021,Done,
C00392,106,Sarah Jones,Liti,420202.00,11/16/2022,Closed,X
C00393,80,Michael Brown,Disp,314624,2021-02-10,CLOSED,Y
C00394,47,David Taylor,Fami,414885.00,2021-09-30,P,
C00395,43,Emma Wilson,Wills,GBP 132484,2023-09-18,On Hold,
C00396,189,Michael Brown,EMPLOYMENT,287678,18/06/2023,Finished,Y
C00397,75,Emma Wilson,DISPUTE,GBP 10452,2023-08-16,OPEN,N/A
C00398,68,David Taylor,Wills,138555,10/12/2021,On Hold,N/A
C00399,167,Charles Thompson,Commercial,250849.00,23-04-21,Open,
C00400,59,Daniel Hughes,Commercial,352477,04/28/2021,CLOSED,
C00401,168,Daniel Hughes,IMMIGRATION,349.37K,20-09-22,Active,X
C00402,126,James Davies,Corp,GBP 232503,07/07/2022,IP,
C00403,49,David Taylor,Liti,171285,09/11/2022,pending,Y
C00404,198,Charles Thompson,conveyancing,£476170,2021-07-03,Active,X
C00405,19,Emma Wilson,Employment,£296052,2021-12-04,P,N/A
C00406,177,Richard Evans,Prop,377318.00,09-09-21,Open,
C00407,123,Richard Evans,Immigration,339836.00,07/04/2021,Open,N/A
C00408,187,Sarah Jones,IP,351.45K,03/12/2023,Done,Y
C00409,198,Emma Wilson,corp,426.733K,15/08/2022,Done,Y
C00410,106,Richard Evans,Will,£181882,06/02/2021,Complete,Y
C00411,157,Susan Robinson,Fami,GBP 463753,11-01-23,Paused,N/A
C00412,90,Sarah Jones,Wills,406253.00,04/08/2021,Complete,N/A
C00413,95,Richard Evans,Empl,64376,14/11/2021,Complete,N/A
C00414,39,David Taylor,conveyancing,£383803,03-07-23,Finished,
C00415,20,Jennifer Thomas,Property,£494106,07-03-21,IP,Y
C00416,44,David Taylor,Corp,46174.00,06/26/2023,Closed,N/A
C00417,197,James Davies,IP,171190.00,12-05-23,CLOSED,N/A
C00418,149,Richard Evans,EMPLOYMENT,42332,05/03/2022,On Hold,X
C00419,126,Richard Evans,immigration,13572,2023-02-27,P,X
C00420,197,Patricia White,Employment,£180810,17-02-22,Complete,Y
C00421,200,Charles Thompson,Conv,136862,31-05-22,In Progress,N/A
C00422,147,Patricia White,DISPUTE,GBP 432889,03/01/2021,Open,
C00423,170,Patricia White,Wills,383334.00,2021-09-06,IP,X
C00424,136,Andrew Roberts,Litigation,68.564K,04/14/2023,Finished,X
C00425,118,James Davies,conveyancing,98803,28-11-21,Paused,Y
C00426,104,David Taylor,Disp,GBP 379923,10/02/2022,closed,N/A
C00427,78,Andrew Roberts,litigation,32045,04/04/2021,Closed,
C00428,82,Andrew Roberts,property,GBP 194229,15/03/2023,OPEN,N/A
C00429,170,James Davies,Immigration,GBP 93602,30/05/2022,Open,Y
C00430,148,David Taylor,employment,152332,08/31/2022,Done,N/A
C00431,179,Patricia White,Litigation,£179146,01/19/2023,OPEN,
C00432,21,Daniel Hughes,Dispute,GBP 400834,06-09-22,CLOSED,Y
C00433,32,Robert Smith,Litigation,£75488,29/06/2021,pending,X
C00434,194,Sarah Jones,family,GBP 455679,09/18/2021,pending,N/A
C00435,131,David Taylor,PROPERTY,GBP 489177,31-05-21,closed,X
C00436,152,James Davies,commercial,49846.00,09/24/2022,Closed,Y
C00437,151,Patricia White,employment,99.479K,06-08-22,Finished,
C00438,115,Patricia White,Wills,421828,2022-10-13,CLOSED,
C00439,101,Andrew Roberts,corp,299280,21/06/2021,open,N/A
C00440,9,Patricia White,Corp,250157,28-07-22,CLOSED,Y
C00441,23,Karen Edwards,Prop,£180726,2022-03-05,closed,Y
C00442,160,Lisa Johnson,CONTRACT,£42169,12-08-22,CLOSED,X
C00443,28,Charles Thompson,FAMILY,220675.00,2021-03-25,Complete,N/A
CASE444,124,Sarah Jones,Prop,328499.00,27-02-22,Closed,Y
C00445,175,Charles Thompson,conveyancing,256314,11/25/2023,Closed,
C00446,174,Emma Wilson,corp,£151757,15-06-22,Active,Y
C00447,23,Charles Thompson,Cont,£88702,08-11-22,pending,X
C00448,162,Andrew Roberts,Empl,£305516,04/04/2021,Complete,X
C00449,165,Lisa Johnson,Immi,188.051K,01-02-21,Done,Y
C00450,166,Susan Robinson,Corp,452366,21/11/2021,IP,
C00451,17,Patricia White,IP,281819.00,2021-04-05,In Progress,
C00452,181,Sarah Jones,DISPUTE,279400,11/29/2022,Complete,N/A
C00453,28,Emma Wilson,property,24825.00,02-01-21,CLOSED,N/A
C00454,53,Lisa Johnson,Will,GBP 32460,09/04/2022,Pending,X
C00455,109,Lisa Johnson,Wills,GBP 379541,2022-04-26,Finished,
C00456,58,James Davies,Wills,£390306,2021-05-04,Closed,X
C00457,114,James Davies,IP,GBP 51245,07/05/2022,Paused,N/A
C00458,8,Jennifer Thomas,Will,232815,04/14/2022,Finished,N/A
C00459,67,David Taylor,immigration,414.424K,07/12/2023,Ongoing,Y
C00460,154,Karen Edwards,employment,101.953K,02-12-23,Pending,
C00461,47,Charles Thompson,Corp,GBP 325344,2021-04-29,CLOSED,Y
C00462,136,David Taylor,Corp,122423.00,15/07/2021,Open,N/A
C00463,108,Emma Wilson,Disp,340174,2023-11-16,CLOSED,Y
C00464,167,Emma Wilson,Immigration,328642,11/15/2022,OPEN,X
C00465,28,Karen Edwards,IP,168789.00,19-09-21,In Progress,
C00466,100,Charles Thompson,wills,GBP 152826,14/12/2021,OPEN,X
C00467,64,Patricia White,ip,192997.00,10/26/2023,CLOSED,
C00468,121,Patricia White,family,GBP 144317,15-08-21,CLOSED,Y
C00469,93,David Taylor,Contract,£335361,23/06/2022,Ongoing,N/A
C00470,17,James Davies,Cont,17920.00,06-11-22,P,N/A
C00471,79,Jennifer Thomas,Conv,457661.00,17-01-21,On Hold,
CASE472,141,Daniel Hughes,Employment,451.969K,2021-01-20,In Progress,N/A
C00473,177,Jennifer Thomas,Conveyancing,GBP 385461,06/10/2022,Active,X
CASE474,65,James Davies,WILLS,451.326K,22-05-21,In Progress,X
C00475,156,Daniel Hughes,Family,58796,2022-04-11,OPEN,X
CASE476,166,Robert Smith,CONVEYANCING,19.482K,26-08-21,closed,N/A
C00477,153,Jennifer Thomas,WILLS,GBP 489149,12-07-23,Complete,Y
C00478,174,Jennifer Thomas,CORP,304.195K,2022-10-16,Closed,N/A
C00479,139,Richard Evans,Wills,263.543K,08/30/2022,Paused,
C00480,193,James Davies,Contract,404447,10/11/2023,C,Y
C00481,179,Susan Robinson,Empl,459136,25-07-23,closed,N/A
C00482,131,Sarah Jones,FAMILY,140.672K,09-10-22,open,X
C00483,62,Daniel Hughes,Empl,234.519K,01/27/2022,CLOSED,
CASE484,78,Michael Brown,employment,492243,29/08/2022,Closed,X
C00485,36,Susan Robinson,Immi,169977,06/05/2023,Ongoing,X
C00486,41,Sarah Jones,Immi,GBP 197508,12-09-23,CLOSED,X
C00487,74,Emma Wilson,conveyancing,108534,25-10-22,Done,
CASE488,180,Daniel Hughes,Prop,GBP 471932,09/08/2021,closed,X
C00489,25,Jennifer Thomas,COMMERCIAL,448.714K,14/09/2022,pending,N/A
C00490,182,Sarah Jones,Empl,100168.00,16-02-22,closed,N/A
CASE491,182,Jennifer Thomas,Commercial,312167.00,2021-05-04,Closed,Y
C00492,72,Karen Edwards,Contract,£299124,19-11-21,Open,X
C00493,139,Jennifer Thomas,IP,GBP 316535,02/02/2022,In Progress,
C00494,158,Daniel Hughes,ip,252446,06/10/2021,C,N/A
C00495,123,Andrew Roberts,PROPERTY,GBP 150921,06-11-23,closed,X
C00496,41,Jennifer Thomas,Corp,GBP 75944,03/05/2023,Open,Y
C00497,65,Robert Smith,CORP,23261,10-02-23,IP,X
C00498,133,Charles Thompson,Litigation,£98788,02-07-22,Open,Y
C00499,42,Karen Edwards,CONTRACT,13859.00,14-06-22,Complete,X
C00500,32,Charles Thompson,Immigration,468794,01/04/2022,Ongoing,N/A
